Country,Code,Year,Population,Energy_per_capita,Annual_Mean,Temp_5yr_Smooth,Total_Energy_Proxy,Total_Energy_TWh,Population_Millions,Temp_Change_YoY,Decade,High_Energy_Use,Climate_Band
Bangladesh,BGD,2015,159383179.0,2416.2,25.44,25.54,385101748668.02527,385.10174866802527,159.38,-0.14999999999999858,2010,False,Warm
Bangladesh,BGD,2016,160811932.0,2404.68,25.9,25.49,386701140154.60077,386.70114015460075,160.81,0.4599999999999973,2010,False,Warm
Bangladesh,BGD,2017,162186147.0,2484.58,25.67,25.47,402965268043.995,402.96526804399497,162.19,-0.22999999999999687,2010,False,Warm
Bangladesh,BGD,2018,163523103.0,2631.36,25.27,25.49,430287988786.977,430.287988786977,163.52,-0.40000000000000213,2010,False,Warm
Bangladesh,BGD,2019,164913055.0,2926.16,25.62,25.52,482562018001.41095,482.56201800141093,164.91,0.3500000000000014,2010,False,Warm
Bangladesh,BGD,2020,166298024.0,2750.77,25.39,25.58,457447166473.8152,457.4471664738152,166.3,-0.23000000000000043,2020,False,Warm
Bangladesh,BGD,2021,167658854.0,2937.34,25.7,25.64,492470387572.944,492.470387572944,167.66,0.3099999999999987,2020,False,Warm
Bangladesh,BGD,2022,169384897.0,3023.73,25.74,25.72,512173991343.9336,512.1739913439336,169.38,0.03999999999999915,2020,False,Warm
Barbados,BRB,2014,278348.0,23038.89,26.63,26.74,6412828953.72,6.41282895372,0.28,0.0,2010,True,Warm
Barbados,BRB,2015,278990.0,24428.85,26.94,26.75,6815405419.48,6.815405419479999,0.28,0.3100000000000023,2010,True,Warm
Barbados,BRB,2016,279598.0,24818.07,26.92,26.76,6939082735.86,6.93908273586,0.28,-0.019999999999999574,2010,True,Warm
Barbados,BRB,2017,280171.0,23423.18,26.75,26.75,6562495763.78,6.562495763779999,0.28,-0.1700000000000017,2010,True,Warm
Barbados,BRB,2018,280711.0,26300.88,26.44,26.73,7382946044.969,7.382946044969,0.28,-0.3099999999999987,2010,True,Warm
Barbados,BRB,2019,281207.0,25585.25,26.71,26.69,7194751396.75,7.19475139675,0.28,0.2699999999999996,2010,True,Warm
Barbados,BRB,2020,281698.0,20003.32,26.79,26.64,5634894673.964,5.634894673963999,0.28,0.0799999999999983,2020,True,Warm
Barbados,BRB,2021,282147.0,19102.56,26.63,26.58,5389728585.585,5.389728585585,0.28,-0.16000000000000014,2020,True,Warm
Barbados,BRB,2022,282318.0,19859.15,26.45,26.53,5606594380.428,5.6065943804280005,0.28,-0.17999999999999972,2020,True,Warm
Belarus,BLR,2014,9448515.0,31127.62,7.97,7.91,294109812829.845,294.109812829845,9.45,0.0,2010,True,Cold
Belarus,BLR,2015,9461076.0,28138.87,8.67,8.07,266223997085.19598,266.223997085196,9.46,0.7000000000000002,2010,True,Cold
Belarus,BLR,2016,9469379.0,28718.36,7.81,8.2,271945044567.819,271.945044567819,9.47,-0.8600000000000003,2010,True,Cold
Belarus,BLR,2017,9458989.0,29259.27,7.75,8.28,276763075242.074,276.76307524207397,9.46,-0.05999999999999961,2010,True,Cold
Belarus,BLR,2018,9438785.0,32402.7,8.11,8.3,305842128158.28503,305.84212815828505,9.44,0.35999999999999943,2010,True,Cold
Belarus,BLR,2019,9419758.0,32726.74,8.85,8.27,308278008607.95197,308.27800860795196,9.42,0.7400000000000002,2010,True,Cold
Belarus,BLR,2020,9379952.0,30643.37,9.09,8.2,287433339718.24,287.43333971824,9.38,0.2400000000000002,2020,True,Cold
Belarus,BLR,2021,9302585.0,33803.07,7.33,8.11,314455969146.29,314.45596914629,9.3,-1.7599999999999998,2020,True,Cold
Belarus,BLR,2022,9228071.0,33086.91,7.98,8.01,305328354650.61005,305.32835465061004,9.23,0.6500000000000004,2020,True,Cold
Belgium,BEL,2014,11209057.0,58059.27,11.72,10.8,650789700435.561,650.789700435561,11.21,0.0,2010,True,Mild
Belgium,BEL,2015,11274196.0,58306.63,11.08,10.98,657360408542.068,657.360408542068,11.27,-0.6400000000000006,2010,True,Mild
Belgium,BEL,2016,11331422.0,62607.22,10.76,11.14,709428830066.84,709.42883006684,11.33,-0.3200000000000003,2010,True,Mild
Belgium,BEL,2017,11375158.0,62940.03,11.07,11.28,715952785774.74,715.9527857747399,11.38,0.3100000000000005,2010,True,Mild
Belgium,BEL,2018,11427054.0,62492.76,11.65,11.37,714108143129.04,714.1081431290401,11.43,0.5800000000000001,2010,True,Mild
Belgium,BEL,2019,11488980.0,64258.42,11.39,11.43,738263679233.64,738.26367923364,11.49,-0.2599999999999998,2010,True,Mild
Belgium,BEL,2020,11538604.0,57530.32,11.89,11.45,663819626627.696,663.819626627696,11.54,0.5,2020,True,Mild
Belgium,BEL,2021,11586195.0,63805.6,10.48,11.46,739264100519.61,739.26410051961,11.59,-1.4100000000000001,2020,True,Mild
Belgium,BEL,2022,11680210.0,59651.6,11.98,11.46,696743273237.05,696.7432732370501,11.68,1.5,2020,True,Mild
Belize,BLZ,2014,348923.0,7952.34,25.72,25.92,2774754120.4662,2.7747541204662,0.35,0.0,2010,False,Warm
Belize,BLZ,2015,356333.0,8944.14,26.24,25.99,3187093663.952,3.187093663952,0.36,0.5199999999999996,2010,False,Warm
Belize,BLZ,2016,364705.0,8750.69,26.32,26.05,3191421490.5649996,3.191421490565,0.36,0.08000000000000185,2010,False,Warm
Belize,BLZ,2017,373202.0,9632.0,26.09,26.09,3594680544.3939996,3.5946805443939995,0.37,-0.23000000000000043,2010,False,Warm
Belize,BLZ,2018,380226.0,9116.71,25.53,26.1,3466409416.0080004,3.4664094160080006,0.38,-0.5599999999999987,2010,False,Warm
Belize,BLZ,2019,385829.0,11277.26,26.05,26.09,4351095491.856,4.351095491856,0.39,0.5199999999999996,2010,False,Warm
Belize,BLZ,2020,390812.0,8852.27,26.38,26.06,3459572170.804,3.459572170804,0.39,0.3299999999999983,2020,False,Warm
Belize,BLZ,2021,395346.0,9089.78,26.15,26.02,3593608163.88,3.59360816388,0.4,-0.23000000000000043,2020,False,Warm
Belize,BLZ,2022,402733.0,9349.88,25.83,25.98,3765506027.506,3.765506027506,0.4,-0.3200000000000003,2020,False,Warm
Benin,BEN,2014,11030004.0,1879.15,28.32,28.27,20727025398.5976,20.7270253985976,11.03,0.0,2010,False,Warm
Benin,BEN,2015,11360681.0,2004.11,28.27,28.31,22768075984.2039,22.7680759842039,11.36,-0.05000000000000071,2010,False,Warm
Benin,BEN,2016,11697842.0,2373.23,28.53,28.35,27761681267.502003,27.761681267502002,11.7,0.26000000000000156,2010,False,Warm
